id,q_gram_set
d789ac67dab61481179f91f308a1f476c3ecf795b58688e684c3b4a3a249ad05,"{'mm', 'mo', 'ey', 'ai', 'oh', 'am', 'ad', 'ba', 'il', 'ma', 'ha', 'le'}"
eb0ba813792ac4304ed5c6e4feb67c73bc853b96d447c145d9b51acb93dc733b,"{'ec', 'ee', 'ce', 'mp', 'ps', 'on', 're', 'so', 'im', 'si'}"
4e64fca4a983aa1a38f3350f891b0643293b7d4b0fcdf99d9f35c2b78c635220,"{'ai', 'mp', 'ps', 'ka', 'on', 'so', 'im', 'si'}"
e1ec08a6b53ef7f84ef13dd52fff171f25cb3868fa92ab0b7a6e9ee5a9fbf5be,"{'mo', 'ra', 'ri', 'or', 'ie', 'xi', 'er', 'rr', 'is', 'an'}"
6bc61278a9b664d7540f73e5d632a69ca13504c8a83edcbc10c98ecc438f1dec,"{'ll', 'ri', 'ke', 'ar', 'rr', 'on', 'ha', 'so', 'el', 'is', 'ly'}"
61dd9b92f6c50ea0f5b91c8d4e6a5babdddaed2e0ca93a5771058f62b9fe6da5,"{'es', 'ca', 'll', 'ss', 'ke', 'ic', 'el', 'je', 'si', 'ly'}"
44436fdbeb362e08ae07e735591ed594115952da730190c7d72a62ee3b10603c,"{'ty', 'yl', 'ox', 'er', 'co', 'le'}"
e8e18825c4feb8470d1d27adc1db4c61d260aadecbb1b8153a85c7af2819d958,"{'id', 'ox', 'co', 'ai', 'en', 'de'}"
dafab8dd2ac2cbc9cbfa75d6012886c7a85269b7c58889d3be3bef7548dda3fb,"{'mm', 'en', 'am', 'ad', 'st', 've', 'ev', 'uh', 'ma', 'te', 'ha', 'mu', 'ns'}"
b425cddaebe78085f703ec7aed54e62e4657b157c3ad57562d2c5afccd8cb983,"{'rc', 'en', 'st', 'ie', 'ar', 've', 'ev', 'ch', 'hi', 'te', 'ns'}"
6b94253b82bcd4dae51ac8dac7ed8d3af7967b3ff81da0cb0f4afa522512bc7f,"{'nn', 'en', 'ne', 'be', 'tt', 'et'}"
0af3c2b4285f0e516cd63edc48a0d7768d96c1f4305542ad09fdc3ebad730191,"{'sh', 'll', 'nn', 'oh', 'ar', 'al', 'ne', 'no', 'na', 'ha', 'rs', 'an', 'ed'}"
2f5f15b53b0cc17b82405ffa2e35ef75fc6b7236df17f2b21459935681d7226a,"{'sh', 'fi', 'll', 'of', 'ar', 'al', 'ia', 'ma', 'ha', 'so', 'rs'}"
f378fd87516737a92d43fd1e270ef39663123961cd6438b6d9c3fc57f6f828d7,"{'ow', 'iw', 'je', 'ie', 'ja', 'wk', 'ew', 'ws', 'ki', 'so', 'an', 'ni'}"
c80aee05c9829b543b89632824b8bd8342258edf617bc1e24af6d6ee246ce7f2,"{'hl', 'lt', 'wh', 'al', 'lf', 'te', 'fl', 'le'}"
02a4cf166b402aa52b597140025094c191caea28c210c18daf79e491e7be7ea0,"{'oe', 'it', 'hi', 'te', 'ho', 'wh', 'be', 'ph', 'eb'}"
1be0e0eb6fb2c2db8c2872212dce13c1d02c5bde839cabf8654c148410f52248,"{'mm', 'ab', 'ri', 'am', 'ar', 'ma', 'rr', 'ha', 'be', 'el', 'is'}"
9dcd6f129edb2aca510d6aa503e4c66fa8a2f44cefba0693df163d383e033f93,"{'lo', 'll', 'yd', 'oy', 'ja', 'ak', 'ke'}"
b6fe954cfb4da992c3254dc6df8cd2bfaf73070a77ead65662b59adfa897b009,"{'gr', 'll', 'ce', 'ra', 'oy', 'ac', 'yd', 'lo'}"
b134349ba240a07e3c4fd74371484fb31f73fface0970a587f9f0c1a7a7284ec,"{'co', 'oy', 'ie', 'ja', 'yd', 'cc', 'an', 'ni'}"
2fe99aa38af728c8e31c9e06fd5d0953f582cb961e7ae26f05f0e935ae8b5bc7,"{'es', 'yd', 'er', 'he', 'th', 'll', 'oy', 'st', 'lo'}"
bf169501122ab93bfef1a02d09edd4944de5a492eb67755e397bd035dff282b3,"{'me', 'mo', 'll', 'oh', 'am', 'oy', 'yd', 'ha', 'lo', 'ed'}"
d91ea7c6f25844e779d0a59d3afe309e6bdf62e2211c829276067eb6588f40b8,"{'nd', 'll', 'oy', 'ia', 'yd', 'in', 'lo', 'di'}"
aa388c48d273ed340c6c4752b59bf27a04d10e840e9221230158bcb9f404e59b,"{'fi', 'ey', 'oy', 'll', 'yd', 'le', 'nl', 'lo', 'in'}"
f95cfdf16ad87021cb3e3d034e05eacaf25331ca10b641fad24939803cd85229,"{'li', 'll', 'oy', 'il', 'yd', 'lo', 'ly'}"
e74f7f73410bac2921f5d8969eb975cd9d174ff3b3c0a3af147de5aab705da7b,"{'rt', 'ob', 'ja', 'ke', 'ts', 'er', 'ro', 'be', 'ak'}"
fbdeb54faabe4a261c8bff26e6ac7895e7dcda621075590232cd6d72fbf69d5f,"{'sh', 'fi', 'nn', 'oh', 'ne', 'no', 'er', 'he', 'ha', 'is', 'an', 'ed'}"
d38b53354c9de14832bcdce7d733d0a993ed63f043523054c3596a620077af30,"{'sh', 'fi', 'nn', 'ny', 'er', 'on', 'he', 'so', 'is'}"
08e0bfc649fb63a9af37cdfb7b50ed0a799d259c8e85321facc7fc6a5bfae154,"{'me', 'sh', 'sm', 'im', 'aw', 'as', 'mi', 'ha', 'ja'}"
5dad8eb40a3693e88490c21ef5e01af9ec0e19e7317ae060b1d856ea81dcf652,"{'mu', 'ue', 'sa', 'sh', 'aw', 'ha', 'am', 'el'}"
b95a60ec363bb35c297f08bd350bb77bcb345b207bd5f3b4252b0aa88aee01ac,"{'li', 'll', 'ie', 'il', 'ls', 'mi', 'el'}"
8ae02e571556682a487faf83290b2f35fc2566a7ef45f0d474931a18a92fa490,"{'li', 'fi', 'gr', 'th', 'ri', 'if', 'al', 'ff', 'it', 'hs'}"
b0001fc9838a3758e729f56664e77447f095405d28abde9647f273bf9b2a03ce,"{'yl', 'ks', 'fi', 'gr', 'tk', 'an', 'dy', 'ri', 'if', 'ff', 'it', 'la'}"
5058517de7d3d64481e5624a7dc5c9b621827c58845b1f76fc30fdf1497fa5ed,"{'fi', 'gr', 'th', 'ri', 'if', 've', 'ev', 'ne', 'ff', 'it', 'hs'}"
85f3fcba09924cec4d671c05fca2c7f631423f7bc394781867c1e6417e7ae08d,"{'me', 'rt', 'es', 'ob', 'am', 'ja', 'ts', 'er', 'ro', 'be'}"
4bd0fcb4238fe8080e4d5daeb2f04822f4b245ffd0cc7769d550e3616b42dc0f,"{'ow', 'll', 'bv', 'am', 'we', 'do', 'va', 'po', 'md', 'om', 'el'}"
742c5ee4708ac459873f3585ae7c68deba9025477c7a653734e43880d5fbab17,"{'ow', 'se', 'll', 'we', 'ph', 'jo', 'os', 'po', 'el', 'ep'}"
24e3e1f28f9bbb6368f3d01f94fa5d6a07587112b70bc7292ef74221eca8b46b,"{'gr', 'on', 'as', 'ra', 'so', 'ay', 'ja'}"
dd9cf909b90966095a40bf9057abae94a5edd99d56851b5243688085b557e807,"{'el', 'ab', 'ra', 'ay', 'be', 'sa', 'is', 'cr'}"
3436d4bbb67f2d84ab3da0c47fa76cfc08db8dba541261feea9dfdfed9810838,"{'ob', 'ac', 'gr', 'co', 'ra', 'ay', 'ja'}"
4aaa0ae99d6e421999cbcf49c6c10e5ccf48f223c4e403e301bdfa1dc7e9d563,"{'gr', 'at', 'ka', 'ra', 'ti', 'ay', 'ie'}"
768606e16a78da56420d2aa93fdc238798314f4e36f2925a56017d6d68d3cedc,"{'li', 'll', 'ph', 'il', 'hi', 'ya', 'ps', 'ry', 'ip', 'an'}"
d86f6171b3b0c6e213c7e60f6ac9e0015ef9c25b07cc1e39aa5bde1afd15f7e1,"{'id', 'lu', 'ka', 'as', 're', 'uk', 'ei'}"
faa046ec97abf5b182479e0c7a4c112b10d2410cb770b1095c5459604492ffcd,"{'yl', 'll', 'ay', 'or', 'ta', 'it', 'ch', 'he', 'tc', 'mi', 'el', 'lo'}"
545302574871665485f72f9160d9b89a93c5d55fe0e1563b579c0dbde0a5b160,"{'mm', 'ec', 'em', 'it', 'ch', 'ma', 'he', 'tc', 'mi', 'cc'}"
4c7e7a0a7250be9160bb63f2a20cdd1106e8f9ced0bb39af096f4390141b5849,"{'ob', 'll', 'co', 'ja', 'it', 'ac', 'ch', 'he', 'tc', 'mi', 'el'}"
516637d58a1b5bda5b43b5ec1206193539991c37df8a71b479fd8b1dc1977933,"{'li', 'll', 'ph', 've', 'ev', 'il', 'hi', 'ps', 'ip'}"
72fa8e5fb8f77514c7e5f111cc6c4304a4fcaaaad552fa44dcd8cd56cb53a582,"{'mo', 'll', 'ri', 'or', 'rr', 'el', 'is', 'la'}"
d4270b39db4c99dad8f375d218985182a824be82859b2e43d8d62708df72985c,"{'mo', 'ri', 'or', 'er', 'rr', 'is', 'in'}"
215eefe671e1816885470d810602c741a4958fe3907b5472066b7e81de3fcac9,"{'ll', 'en', 'it', 'ch', 'he', 'tc', 'mi', 'be', 'el'}"
151b6f8e2d83755191b15b55a27b2c2bf1301bee58463e1bbe68f3ca1c8776cf,"{'pp', 'll', 'py', 'tc', 'it', 'ch', 'mi', 'op', 'he', 'po', 'el'}"
3bc2b14167ae9f18e73178a030f37725a10eb1b3bcccae09fd9ab31ece0413be,"{'il', 'ly', 'ia', 'hi', 'll', 'yd', 'di'}"
4874b9752906f10874ec2554a9a01d62f963167dea134e08a553d0b394f9d2d0,"{'nd', 'gr', 'ee', 'en', 'al', 'ex', 'er', 're', 'le', 'xa', 'an', 'de'}"
c41b4515dfd79629a31dc5dbc5d0d782e7cf8c9ffae1fc8a41910fb486dd7887,"{'lu', 'uc', 'gr', 'ee', 'en', 're', 'cy'}"
76719f010376d2a823e9d9e61ded786446377fc41b39dfa9d6c1c02945688215,"{'en', 'st', 'ie', 've', 'ev', 'ui', 'ou', 'te', 'lo', 'ns'}"
010a9aaf12caf89a8d227df654044882261f28f6bd4f0c4f28b97fc5fa55613a,"{'ab', 'll', 'en', 'st', 've', 'ev', 'sa', 'te', 'on', 'so', 'le', 'be', 'el', 'is', 'ns'}"
7e72196f3a63a96ecce5229c92484ace80a68e75dc00ae6a36431ec03c57a5c9,"{'th', 'en', 'st', 've', 'ev', 'ma', 'at', 'he', 'te', 'ew', 'tt', 'ns'}"
95826346f9d23f927608581c530ae49fbc95b63169739716aa225217aea4eaba,"{'id', 'ei', 'ar', 'ch', 'rl', 'te', 're', 'ha', 'ot', 'tt', 'lo'}"
c905ac78d29fe59f54276fb2991e5e00330a21fc4c4285f814fb0476a87f9330,"{'pr', 'id', 'ey', 'ya', 're', 'ei'}"
047b70819e5939cee7549557bdf8635b98c4efd1c337f7c6ec3f47effe5d0af9,"{'li', 'wi', 'll', 'og', 'ah', 'il', 'ia', 'hs', 'ga', 'an', 'lo'}"
0d436353157ee971314ca35a32a81b754b6e7dd7711b92379dc1d82c4a0158fb,"{'ck', 'li', 'wi', 'll', 'am', 'ic', 'ky', 'il', 'ms', 'ia', 'vi', 'on', 'so'}"
7e7082b2aff19e9ae6016a559b5cf6094746a64fb01069e714db8c329af76703,"{'yl', 'li', 'wi', 'll', 'ay', 'am', 'il', 'ms', 'ia', 'on', 'so', 'la'}"
1777cb829c733e3d60bedf19b9febd83d499087581710c4ed130029ef98aeaaa,"{'li', 'wi', 'll', 'av', 'am', 'va', 'il', 'ms', 'ia', 'on', 'so'}"
5f0e1bc99f5829d2eb5916c85331901539e465eb606708917c7d5f8cf8a56de1,"{'li', 'wi', 'll', 'am', 'ja', 'ke', 'il', 'ms', 'ia', 'ak'}"
8e027f1528a3bd508f7954e732dd933469c2033946f8a1c0c3e554da0d963860,"{'li', 'mm', 'wi', 'll', 'am', 'ad', 'uh', 'il', 'ms', 'ma', 'ia', 'ha', 'mu'}"
4e7a8aa62f8d038e2915903d3da23834be1ee988e05df3819b3802d80ad90c60,"{'lu', 'ca', 'll', 'um', 'ri', 'ds', 'al', 'ar', 'ic', 'ch', 'on', 'ha', 'so', 'rd'}"
7e8a54ba1397602980108471fb7e1ca6cbd17a9a5395d4f5501ffcb997d7e149,"{'lh', 'nn', 'en', 'ri', 'ie', 'ds', 'ar', 'il', 'na', 'on', 'ha', 'so', 'rd', 'si'}"
8ff840fab6a78a23768ab168b2751e8acb2658e03efd3a4584ee5e8b40d02e00,"{'mo', 'll', 'ri', 'ds', 'ar', 'ic', 'ch', 'ol', 'ha', 'rd', 'ly'}"
08faaa689c6dc55b4bea0e767f4ff5b64fe1d7064f5b83e8f4062802839c7a34,"{'rn', 'or', 'jo', 'ur', 'ne', 'da', 'er', 'tu', 'rd', 'an'}"
0fd929a9ce0873510b09650c822d556158df5916edb2d818d999ef6df57a676f,"{'me', 'al', 'oi', 'lm', 'pa', 'er', 'is', 'lo'}"
77ee9b962cd6c6255113dcd56351006bc66d123a4e189211b3807e034cf094be,"{'ri', 'ar', 'ac', 'er', 'ka', 'pe', 'rr', 'ha', 'cp', 'is'}"
deb376e3ab319d64dcaa918dfcfb72dc4148e8033ba8352c7ff993c95c64d65f,"{'sk', 'gr', 'ee', 'en', 'ar', 'os', 'ka', 're'}"
1c5194d1dbfb3b037976fd7a0b55b3ecc62f16233b1358c954da91c7ce18cf18,"{'gr', 'ee', 'ce', 'en', 'ra', 'ac', 're'}"
f2465a6e00b94d8df1e023bf524dffda0abcf57d54518d1cee7103e2c9095548,"{'gb', 'ee', 'en', 'am', 'be', 'my'}"
aaa388cac54449a8cda92cd6a12640abcee50b1231eac127de0c77e218dd8ea2,"{'nd', 'ob', 'bi', 'al', 'in', 'ex', 'er', 'ro', 'on', 'le', 'so', 'xa', 'an', 'de', 'ns'}"
39687a7ce08add94d41c81137e96e215385b140f28129304f81c1f599c6bf3c9,"{'da', 'pa', 'te', 'at', 'el', 'ie', 'an', 'ni'}"
7441be97ef60e82057130fd36a525c8331d3842f2cbc14fd5aea8782b7f592bb,"{'aa', 'ai', 'pa', 'ma', 'ia', 'te', 'at', 'el'}"
f08a25e0b47ba595b2f2f986a61a07153c85efdbf96ace1b0b48f13e9193c091,"{'bo', 'se', 'pa', 'te', 'at', 'el', 'os'}"
f9dab2ae723a83ca2d0c89a117b018f396f8e718483d073ccef7735fcc0d5edf,"{'wi', 'co', 'er', 'pe', 'op', 'ew', 'oo', 'is', 'le'}"
548ab08885958d174209ae6ed57556a28d6d2bb5f9fcbfae9e01efb22590018f,"{'to', 'll', 'it', 'ch', 'he', 'tc', 'mi', 'om', 'el'}"
c536befabfe252615f7f55a2bf41743a4df362d194981bdda1783005668a4a81,"{'li', 'wi', 'll', 'ar', 'il', 'ch', 'rl', 'te', 'ia', 'on', 'ha', 'so', 'ot', 'tt', 'an', 'lo', 'ns'}"
f4a4232746598cb6b60d82cb81b0f224ffbf0ac7d1c31c734257d18157287096,"{'me', 'li', 'wi', 'll', 'an', 'am', 'eg', 'il', 'ms', 'ia', 'ga'}"
53370ddfa6984802b0375a00f594200dec8b5af2dee8fa0de10052c0288a5a74,"{'sm', 'th', 'ar', 'it', 'mi', 'rr', 'ry', 'ha'}"
96adc13caee5061a60777f3649babd885233c96f5de24ab9f2f42be8b956789d,"{'es', 'ca', 'om', 'ho', 'th', 'ss', 'ic', 'mp', 'ps', 'on', 'so', 'je', 'si'}"
2ba6b3168ff0fcf70cb8c6b11c887bb2c83978f24f0cd5a98b9d84d2c715ab52,"{'om', 'ho', 'th', 'ie', 'mp', 'da', 'ps', 'on', 'so', 'el', 'an', 'ni'}"
d7151747436497865fa0c038822f5f5e749db81fe1edac8eadb892f4fe833972,"{'ec', 'ce', 'ie', 'ic', 'da', 'er', 'mi', 'cc', 'an', 'ni'}"
9b12c0ca94a0ae191c57f3e0a8558af8026213804fefe73ea72d5cca3ebdcef9,"{'gi', 'rg', 'ia', 'll', 'or', 'ge', 'ha', 'eo', 'al'}"
d365b600e420d602e4c31031eae3d3eda3e6f58bd93b031da1d9242a15e059de,"{'da', 'wi', 'ew', 'am', 'ad', 'is', 'le'}"
0e69f6c82ae736bc444076af6973e12063df9875032dd0fff7aab9c46ba77ad3,"{'il', 'li', 'wi', 'ew', 'is', 'le', 'ly'}"
28bd43df6fd369c86d4102b02f4115a2f24d3bc59d2ebdf9bf1c569d65d540cf,"{'se', 'sl', 'll', 'ru', 'ss', 'us', 'el', 'is', 'la'}"
2de600a1fd3618d4989e6119e205e85c626e6b7ceaaf6bbd80646dac116fa51a,"{'se', 'll', 'en', 'ru', 'ss', 'us', 'be', 'el'}"
59c7c6150d1ae2cc2923aeedd4617157c1e11e057b0bfd4712648aed05747b94,"{'rn', 'el', 'es', 'am', 'ba', 'ar', 'ne', 'ue', 'mu', 'sa'}"
67141d84695ec22e8d84bc474d828962b7d526d59bb0a7ca876e089fb99a0e70,"{'wi', 'av', 'da', 'vi', 'ew', 'is', 'le'}"
fc67e06c4f2e74e26e10ddb0e813efbf460bb6340c89ba517c8bd241088922c5,"{'da', 'vi', 'av', 'is', 'an', 'ny'}"
1d4be188ceffc04fc167d1fbd6b104165aebceed25fcd9eb9af353fba95a690e,"{'me', 'es', 'av', 'am', 'ja', 'da', 'vi', 'is'}"
9dcb1b0ba822b2869a9e551984005a289a9187f64adf86dbb8011f5fcfa1748f,"{'se', 'da', 'vi', 'av', 'ea', 'is', 'an'}"
9ca1a646feaf91b589d7a2f4655a5fd74319d593ede4f38368c92147b783b99f,"{'nd', 'av', 'is', 'al', 'ex', 'da', 'er', 'vi', 'le', 'xa', 'an', 'de'}"
699f2245108d3d031eea38b1174253cf9ad935ea4637d1dab4ea69bffc7d696c,"{'da', 'vi', 'av', 'is', 'el', 'ie', 'an', 'ni'}"
49c786a2d5a571c16471587a70fa058e33798c58cf82e0a03dddb1bc7bc4f624,"{'nd', 'ig', 'ai', 'ge', 'pa', 'er', 'on', 'de', 'so', 'rs', 'an'}"
210557c422cc027662c7ab8550737a1cdcbefae9c5622cd71a387c32b6199a4d,"{'nd', 'ld', 'ti', 'bs', 'il', 'da', 'ma', 'at', 'on', 'de', 'so', 'an', 'eb'}"
853beb1067c117fe8893a1811c43d8180b0200d1391f17a8bca438b1763b41db,"{'me', 'li', 'es', 'we', 'am', 'ba', 'ar', 'ia', 'rw', 'el'}"
227f60a19d3265393e207698ef86d460cf4f0d0700a2533a9c9759f235a36b07,"{'rn', 'es', 'ey', 'ba', 'ar', 'ne', 'rl', 'ha', 'le'}"
8d063e474b5cfa97e6aac6ed674c213d83ccc79fcc879af528afa6773db3ad0e,"{'rt', 'en', 'ru', 'st', 'ar', 'wa', 'ub', 'te', 'ew', 'be'}"
018bad0f1e5b18213888e2d63b97d84d3d203f6284bb3abbe7bd78491c683041,"{'aa', 'st', 'my', 'wa', 'ya', 'te', 'at', 'ew'}"
88d6d1560bb336b128dddcda4f7f5406b0838f2b5423898050676d564ddc99a5,"{'rt', 'st', 'ie', 'ar', 'ev', 'wa', 'te', 'vi', 'ew'}"
969c3793e1124661f3650869f50ea9b524f65638ca374f46d40db109fb68f419,"{'en', 'st', 'ja', 'ke', 've', 'ev', 'te', 'ak', 'ns'}"
b035f0384cca63a746662490dfe4f45bee3ff318618b721e28deeac59efa8bdd,"{'mo', 'll', 'em', 'st', 've', 'ev', 'ms', 'te', 'ol', 'ly'}"
c7d6f80e864d4161535766b5e38af6faaa58bf1e089ae212e844e6cfaf34568d,"{'en', 'be', 'st', 've', 'ev', 'rm', 'te', 'er', 'on', 'so', 'mb', 'ns'}"
